Env;m;MeanCorr;SDCorr
MCG23;Model_0294;0.11;0.03
MCG23;Model_0167;0.11;0.03
MCG23;Model_0322;0.11;0.03
MCG23;Model_0085;0.11;0.03
MCG23;Model_0240;0.11;0.03
MCG23;Model_0099;0.11;0.03
MCG23;Model_0254;0.11;0.03
MCG23;Model_0076;0.11;0.06
MCG23;Model_0075;0.11;0.06
MCG23;Model_0230;0.11;0.06
MCG23;Model_0111;0.11;0.03
MCG23;Model_0266;0.11;0.03
MCG23;Model_0158;0.11;0.06
MCG23;Model_0313;0.11;0.06
MCG23;Model_0157;0.11;0.06
MCG23;Model_0312;0.11;0.06
MCG23;Model_0130;0.11;0.06
MCG23;Model_0129;0.11;0.06
MCG23;Model_0284;0.11;0.06
MCG23;Model_0104;0.11;0.06
MCG23;Model_0259;0.11;0.06
MCG23;Model_0103;0.11;0.06
MCG23;Model_0258;0.11;0.06
MCG23;Model_0102;0.11;0.03
MCG23;Model_0257;0.11;0.03
MCG23;Model_0082;0.11;0.06
MCG23;Model_0237;0.11;0.06
MCG23;Model_0083;0.11;0.06
MCG23;Model_0238;0.11;0.06
